date,adj_close,volume,daily_return,outlier_iqr,return_winsorized
2015-01-05,166.6233367919922,169632600,-0.018059361410146635,False,-0.016530752453280957
2015-01-06,165.05389404296875,209151400,-0.009419105266044947,False,-0.009419105266044947
2015-01-07,167.1107177734375,125346700,0.012461528050548676,False,0.012461528050548676
2015-01-08,170.0760498046875,147217800,0.0177447148259533,False,0.015596387768707738
2015-01-09,168.7131805419922,158567300,-0.008013293254755194,False,-0.008013293254755194
2015-01-12,167.39154052734375,144396100,-0.007833650046799256,False,-0.007833650046799256
2015-01-13,166.92071533203125,214553300,-0.0028127179774392053,False,-0.0028127179774392053
2015-01-14,165.91299438476562,192991100,-0.006037123344823425,False,-0.006037123344823425
2015-01-15,164.39312744140625,176613900,-0.00916062632101422,False,-0.00916062632101422
2015-01-16,166.5489501953125,211879600,0.013113825300723914,False,0.013113825300723914
2015-01-20,166.90415954589844,130991100,0.002132762471149574,False,0.002132762471149574
2015-01-21,167.74673461914062,122942700,0.005048256889071068,False,0.005048256889071068
2015-01-22,170.24131774902344,174356000,0.01487112780792188,False,0.01487112780792188
2015-01-23,169.30784606933594,117516800,-0.005483226352040238,False,-0.005483226352040238
2015-01-26,169.704345703125,92009700,0.002341885760135831,False,0.002341885760135831
2015-01-27,167.4658660888672,134044600,-0.013190467250460025,False,-0.013190467250460025
2015-01-28,165.31817626953125,168514300,-0.012824642236025863,False,-0.012824642236025863
2015-01-29,166.8463592529297,173585400,0.009243889679177997,False,0.009243889679177997
2015-01-30,164.748291015625,197729700,-0.012574851778000995,False,-0.012574851778000995
2015-02-02,166.78854370117188,163107000,0.012384059785806034,False,0.012384059785806034
2015-02-03,169.200439453125,124212900,0.01446079987528659,False,0.01446079987528659
2015-02-04,168.55618286132812,134306700,-0.0038076531826937154,False,-0.0038076531826937154
2015-02-05,170.25779724121094,97953200,0.010095235612227471,False,0.010095235612227471
2015-02-06,169.78697204589844,125672000,-0.0027653664204609907,False,-0.0027653664204609907
2015-02-09,169.02703857421875,87219000,-0.00447580554928706,False,-0.00447580554928706
2015-02-10,170.82774353027344,96164200,0.010653354464729592,False,0.010653354464729592
2015-02-11,170.92684936523438,91087800,0.000580150699838633,False,0.000580150699838633
2015-02-12,172.57061767578125,97545900,0.009616794065129497,False,0.009616794065129497
2015-02-13,173.2809600830078,93670400,0.004116241900235407,False,0.004116241900235407
2015-02-17,173.55360412597656,76968200,0.0015734218164427105,False,0.0015734218164427105
2015-02-18,173.57008361816406,80652900,9.495332736242368e-05,False,9.495332736242368e-05
2015-02-19,173.44619750976562,91462500,-0.0007137526572319475,False,-0.0007137526572319475
2015-02-20,174.48703002929688,140896400,0.006000895577273457,False,0.006000895577273457
2015-02-23,174.4622344970703,74411100,-0.00014210530274028077,False,-0.00014210530274028077
2015-02-24,174.9578094482422,72472300,0.0028405858299389575,False,0.0028405858299389575
2015-02-25,174.8091278076172,73061700,-0.0008498142557562538,False,-0.0008498142557562538
2015-02-26,174.60256958007812,72697900,-0.0011816215213108494,False,-0.0011816215213108494
2015-02-27,174.0079345703125,108076000,-0.0034056486751353754,False,-0.0034056486751353754
2015-03-02,175.1065216064453,87491400,0.006313430699844913,False,0.006313430699844913
2015-03-03,174.3878631591797,110325800,-0.0041041215408346154,False,-0.0041041215408346154
2015-03-04,173.65277099609375,114497200,-0.004215271348413485,False,-0.004215271348413485
2015-03-05,173.8426971435547,76873000,0.001093712161179372,False,0.001093712161179372
2015-03-06,171.39772033691406,188128000,-0.01406430552916249,False,-0.01406430552916249
2015-03-09,172.10809326171875,89818900,0.004144587940891675,False,0.004144587940891675
2015-03-10,169.316162109375,157121300,-0.01622196318274327,False,-0.01622196318274327
2015-03-11,168.9196319580078,110145700,-0.002341950977550744,False,-0.002341950977550744
2015-03-12,171.06729125976562,93993500,0.012714089397801276,False,0.012714089397801276
2015-03-13,170.0182647705078,162410900,-0.006132244694661559,False,-0.006132244694661559
2015-03-16,172.28982543945312,136099200,0.013360686112233289,False,0.013360686112233289
2015-03-17,171.7776641845703,94510400,-0.002972672666981091,False,-0.002972672666981091
2015-03-18,173.8426971435547,228808500,0.012021545227006714,False,0.012021545227006714
2015-03-19,173.0497589111328,117917300,-0.004561239818817842,False,-0.004561239818817842
2015-03-20,174.57720947265625,177715100,0.008826655241443326,False,0.008826655241443326
2015-03-23,174.23703002929688,71784500,-0.0019485902219823492,False,-0.0019485902219823492
2015-03-24,173.25799560546875,77805300,-0.00561898021140228,False,-0.00561898021140228
2015-03-25,170.71905517578125,159521700,-0.0146541025181256,False,-0.0146541025181256
2015-03-26,170.31259155273438,153067200,-0.0023808919433648823,False,-0.0023808919433648823
2015-03-27,170.70248413085938,118939000,0.002289276292318565,False,0.002289276292318565
2015-03-30,172.78504943847656,96180400,0.012199970716423314,False,0.012199970716423314
2015-03-31,171.2750244140625,126768700,-0.008739326864919184,False,-0.008739326864919184
2015-04-01,170.6693115234375,137303600,-0.0035364927997947326,False,-0.0035364927997947326
2015-04-02,171.2832489013672,86900900,0.0035972335767311403,False,0.0035972335767311403
2015-04-06,172.43653869628906,114368200,0.0067332316634534095,False,0.0067332316634534095
2015-04-07,171.98020935058594,81236300,-0.0026463610853779684,False,-0.0026463610853779684
2015-04-08,172.56103515625,89351900,0.0033772828156060086,False,0.0033772828156060086
2015-04-09,173.3243865966797,85548900,0.004423660531118756,False,0.004423660531118756
2015-04-10,174.27020263671875,72722900,0.005456912663074576,False,0.005456912663074576
2015-04-13,173.48202514648438,74436600,-0.0045227323909032835,False,-0.0045227323909032835
2015-04-14,173.81387329101562,75099900,0.0019128675968074216,False,0.0019128675968074216
2015-04-15,174.59378051757812,99529300,0.004487025182717819,False,0.004487025182717819
2015-04-16,174.54405212402344,68934900,-0.0002848233963848035,False,-0.0002848233963848035
2015-04-17,172.53610229492188,191113200,-0.011503971660259182,False,-0.011503971660259182
2015-04-20,174.11253356933594,92189500,0.00913681979276082,False,0.00913681979276082
2015-04-21,173.90513610839844,72559800,-0.00119116904846428,False,-0.00119116904846428
2015-04-22,174.75970458984375,78264600,0.004913992194644834,False,0.004913992194644834
2015-04-23,175.199462890625,102585900,0.002516359831423065,False,0.002516359831423065
2015-04-24,175.60606384277344,61327400,0.002320788805170393,False,0.002320788805170393
2015-04-27,174.87591552734375,79358100,-0.004157876439183861,False,-0.004157876439183861
2015-04-28,175.43182373046875,86863500,0.0031788722960999216,False,0.0031788722960999216
2015-04-29,174.70999145507812,125684900,-0.004114602812883228,False,-0.004114602812883228
2015-04-30,172.9592742919922,161304900,-0.010020704302627581,False,-0.010020704302627581
2015-05-01,174.83441162109375,103399700,0.01084149628158082,False,0.01084149628158082
2015-05-04,175.332275390625,70927200,0.002847630308673077,False,0.002847630308673077
2015-05-05,173.3243865966797,113326200,-0.011451906327411221,False,-0.011451906327411221
2015-05-06,172.6107940673828,135060200,-0.00411709248368719,False,-0.00411709248368719
2015-05-07,173.2994384765625,88244900,0.003989579057905646,False,0.003989579057905646
2015-05-08,175.58116149902344,155877300,0.013166361313799113,False,0.013166361313799113
2015-05-11,174.74317932128906,75708100,-0.004772620083954959,False,-0.004772620083954959
2015-05-12,174.22042846679688,119727600,-0.0029915379617251325,False,-0.0029915379617251325
2015-05-13,174.2536163330078,94667900,0.00019049354029831989,False,0.00019049354029831989
2015-05-14,176.07064819335938,95934000,0.010427513061646465,False,0.010427513061646465
2015-05-15,176.26150512695312,76510100,0.001083979275092739,False,0.001083979275092739
2015-05-18,176.80909729003906,74549700,0.0031067030926097416,False,0.0031067030926097416
2015-05-19,176.7510528564453,72114600,-0.0003282887276921942,False,-0.0003282887276921942
2015-05-20,176.6265869140625,76857500,-0.0007041878414376646,False,-0.0007041878414376646
2015-05-21,177.1409912109375,64764600,0.002912383157385401,False,0.002912383157385401
2015-05-22,176.7178497314453,57433500,-0.0023887270619836753,False,-0.0023887270619836753
2015-05-26,174.8177947998047,124308600,-0.010751912919538698,False,-0.010751912919538698
2015-05-27,176.47715759277344,93214000,0.009491955866786972,False,0.009491955866786972
2015-05-28,176.27806091308594,74974600,-0.0011281725204738136,False,-0.0011281725204738136
2015-05-29,175.182861328125,124919600,-0.006212909191807614,False,-0.006212909191807614
2015-06-01,175.53965759277344,93338800,0.002036707597669274,False,0.002036707597669274
2015-06-02,175.36538696289062,91531000,-0.0009927707064752989,False,-0.0009927707064752989
2015-06-03,175.83006286621094,87820900,0.0026497583780238365,False,0.0026497583780238365
2015-06-04,174.34487915039062,151882800,-0.008446699566674098,False,-0.008446699566674098
2015-06-05,174.04617309570312,121704700,-0.001713305582264013,False,-0.001713305582264013
2015-06-08,172.97589111328125,89063300,-0.006149414051369928,False,-0.006149414051369928
2015-06-09,172.95098876953125,105034700,-0.00014396424605611635,False,-0.00014396424605611635
2015-06-10,175.0251922607422,134551300,0.01199301319968149,False,0.01199301319968149
2015-06-11,175.58941650390625,73876400,0.0032236744658078464,False,0.0032236744658078464
2015-06-12,174.24533081054688,135382400,-0.007654707898237523,False,-0.007654707898237523
2015-06-15,173.4985809326172,124384200,-0.004285623462367605,False,-0.004285623462367605
2015-06-16,174.4444580078125,85308200,0.0054517856579050505,False,0.0054517856579050505
2015-06-17,174.72654724121094,126708600,0.0016170719128594246,False,0.0016170719128594246
2015-06-18,176.54359436035156,165867900,0.010399376327354437,False,0.010399376327354437
2015-06-19,175.75985717773438,130478700,-0.004439340806766778,False,-0.004439340806766778
2015-06-22,176.66030883789062,70696000,0.005123192944141319,False,0.005123192944141319
2015-06-23,176.78533935546875,68476800,0.0007077453809551937,False,0.0007077453809551937
2015-06-24,175.5014190673828,92307300,-0.007262594809993361,False,-0.007262594809993361
2015-06-25,174.96780395507812,97107400,-0.003040517365274442,False,-0.003040517365274442
2015-06-26,174.93450927734375,104174800,-0.00019029031045580957,False,-0.00019029031045580957
2015-06-29,171.26602172851562,202621300,-0.020970633890263768,True,-0.016530752453280957
2015-06-30,171.62457275390625,182925100,0.002093532749648297,False,0.002093532749648297
2015-07-01,173.00021362304688,135979900,0.008015407392233831,False,0.008015407392233831
2015-07-02,172.84178161621094,104373700,-0.0009157908161960826,False,-0.0009157908161960826
2015-07-06,172.34988403320312,117975400,-0.0028459414061123844,False,-0.0028459414061123844
2015-07-07,173.43373107910156,173820200,0.006288643894240442,False,0.006288643894240442
