date,open,high,low,close,adjusted_close,volume,dividends,stock_splits
2010-01-04,112.37000274658203,113.38999938964844,111.51000213623047,113.33000183105469,84.57848358154297,118944600,0.0,0.0
2010-01-05,113.26000213623047,113.68000030517578,112.8499984741211,113.62999725341797,84.8023681640625,111579900,0.0,0.0
2010-01-06,113.5199966430664,113.98999786376953,113.43000030517578,113.70999908447266,84.8620834350586,116074400,0.0,0.0
2010-01-07,113.5,114.33000183105469,113.18000030517578,114.19000244140625,85.22029876708984,131091100,0.0,0.0
2010-01-08,113.88999938964844,114.62000274658203,113.66000366210938,114.56999969482422,85.50391387939453,126402800,0.0,0.0
2010-01-11,115.08000183105469,115.12999725341797,114.23999786376953,114.7300033569336,85.623291015625,106375700,0.0,0.0
2010-01-12,113.97000122070312,114.20999908447266,113.22000122070312,113.66000366210938,84.82475280761719,163333500,0.0,0.0
2010-01-13,113.94999694824219,114.94000244140625,113.37000274658203,114.62000274658203,85.54120635986328,161822000,0.0,0.0
2010-01-14,114.48999786376953,115.13999938964844,114.41999816894531,114.93000030517578,85.77256774902344,115718800,0.0,0.0
2010-01-15,114.7300033569336,114.83999633789062,113.19999694824219,113.63999938964844,84.80982208251953,212283100,0.0,0.0
2010-01-19,113.62000274658203,115.12999725341797,113.58999633789062,115.05999755859375,85.86958312988281,139172700,0.0,0.0
2010-01-20,114.27999877929688,114.44999694824219,112.9800033569336,113.88999938964844,84.99642181396484,216490200,0.0,0.0
2010-01-21,113.91999816894531,114.2699966430664,111.55999755859375,111.69999694824219,83.36196899414062,344859600,0.0,0.0
2010-01-22,111.19999694824219,111.73999786376953,109.08999633789062,109.20999908447266,81.50373077392578,345942400,0.0,0.0
2010-01-25,110.20999908447266,110.41000366210938,109.41000366210938,109.7699966430664,81.92164611816406,186937500,0.0,0.0
2010-01-26,109.33999633789062,110.47000122070312,109.04000091552734,109.30999755859375,81.5783462524414,211168800,0.0,0.0
2010-01-27,109.16999816894531,110.08000183105469,108.33000183105469,109.83000183105469,81.96642303466797,271863600,0.0,0.0
2010-01-28,110.19000244140625,110.25,107.91000366210938,108.56999969482422,81.02608489990234,316104000,0.0,0.0
2010-01-29,109.04000091552734,109.80000305175781,107.22000122070312,107.38999938964844,80.14545440673828,310677600,0.0,0.0
2010-02-01,108.1500015258789,109.06999969482422,107.5,109.05999755859375,81.39176177978516,187865000,0.0,0.0
2010-02-02,109.26000213623047,110.58999633789062,108.87999725341797,110.37999725341797,82.37688446044922,216327900,0.0,0.0
