short_window_days,long_window_days,ridge_mae,ridge_mae_improvement_vs_recent,balanced_accuracy,recall
5,20,0.03990764204608996,0.2119324800837957,0.7239781103417468,0.6036036036036037
10,30,0.040471880307305426,0.22846731438674667,0.7271610453428635,0.6306306306306306
10,60,0.041505184284177016,0.25740091022764455,0.6904363040726678,0.5585585585585585
